id,credit_card_type,credit_card_number,date_of_birth
1,diners-club-enroute,201870574417146.0,25-Sep-1982
2,americanexpress,373751068048914.0,08-Jan-1946
3,jcb,3570296138617947.0,
4,mastercard,5318327333400599.0,
5,maestro,6.759826666213682e+17,20-Apr-1975
6,,201456415400887.0,24-Sep-1986
7,jcb,3579858614265912.0,
8,jcb,3584519543669607.0,01-Dec-1954
9,laser,6.771100041901598e+18,08-Dec-1982
10,diners-club-carte-blanche,30497672119098.0,08-Aug-1948
11,americanexpress,374499345221529.0,11-Mar-1975
12,jcb,3560263045072105.0,12-Jul-1986
13,bankcard,5602247080709247.0,19-Nov-1993
14,mastercard,5100143372892857.0,27-Apr-1969
15,jcb,3550760184737457.0,22-Nov-1958
16,,5602253377670506.0,
17,jcb,3555390669565572.0,
18,mastercard,5108752422619383.0,17-Mar-1986
19,diners-club-international,36284249330828.0,04-Dec-1991
20,jcb,3558652980093171.0,31-Mar-1995
21,jcb,3536147081905784.0,
22,china-unionpay,5610031676675164.0,24-Nov-1975
23,diners-club-carte-blanche,30459627139563.0,07-Dec-1937
24,switch,,22-Mar-1933
25,maestro,6.761462470666078e+18,03-Aug-1949
26,mastercard,5100178780377257.0,25-Dec-1990
27,instapayment,6379969195266057.0,15-Aug-1939
28,maestro,6759886532659614.0,25-Jan-1982
29,,5.602242471908872e+16,
30,visa-electron,4508102730764779.0,30-Sep-1969
31,china-unionpay,5610235121833951.0,19-Jul-1949
32,switch,4.936717735783859e+18,
33,maestro,6.763824501504379e+16,05-Apr-1988
34,jcb,,28-Dec-1954
35,jcb,,
36,china-unionpay,,25-May-1964
37,,,20-Aug-1978
38,jcb,3553678006620916.0,13-Nov-1943
39,jcb,3581358379223228.0,01-Aug-1959
40,visa,4041599404972386.0,05-Mar-2000
41,jcb,3543458589588944.0,
42,jcb,3567965529042171.0,03-May-2001
43,visa-electron,,14-May-1983
44,maestro,5.038075195829289e+17,01-Jun-1994
45,jcb,3552244131572745.0,07-Jan-1967
46,jcb,,12-Nov-1946
47,switch,,14-Aug-2000
48,jcb,3565364702680654.0,02-Jan-2003
49,jcb,3554080460811165.0,16-May-1983
50,jcb,,12-Aug-1975
51,visa-electron,4405673695621992.0,09-Jun-1993
52,laser,,23-Apr-1979
53,diners-club-international,36025012561382.0,
54,visa-electron,4405153883362212.0,18-Mar-1978
55,jcb,3571276654353365.0,01-Nov-1967
56,solo,6.334721880894183e+18,08-Nov-1997
57,diners-club-carte-blanche,30091164209473.0,
58,,5602232885905653.0,18-Feb-1942
59,jcb,3568097058080288.0,04-Nov-1944
60,mastercard,5267474065282687.0,18-Apr-1941
61,china-unionpay,5.602218094290738e+18,11-Apr-1994
62,visa,4017957624317321.0,
63,switch,6.759088498305878e+18,28-Mar-1975
64,jcb,3561422340535955.0,27-Mar-1996
65,jcb,3549774927531964.0,14-Apr-1953
66,maestro,6759992008775593.0,15-Sep-1933
67,americanexpress,,30-Apr-1984
68,americanexpress,347974523623476.0,08-Nov-1974
69,visa-electron,4508558393460452.0,
70,jcb,3551106052923234.0,24-Aug-1945
71,mastercard,5289248969695929.0,20-Sep-1944
72,,370911545531360.0,01-Sep-1932
73,jcb,3585369609167842.0,10-Nov-1937
74,china-unionpay,5.60221292890219e+17,24-Jun-1983
75,jcb,3579226540769698.0,03-Sep-1986
76,jcb,3556394896694824.0,18-Sep-1962
77,diners-club-international,36031764052935.0,28-Jan-1988
78,bankcard,5602229919622692.0,17-Oct-1987
79,,4913908126545153.0,
80,diners-club-enroute,201695413724091.0,06-Aug-2003
81,jcb,,09-Oct-1939
82,diners-club-carte-blanche,30422978927051.0,03-May-1955
83,jcb,3557726959173205.0,22-Dec-1973
84,americanexpress,344444073056215.0,26-Aug-1946
85,mastercard,5425073794515505.0,27-Jan-1973
86,visa,4041590391074.0,
87,jcb,3586644559782678.0,
88,americanexpress,374288327023692.0,04-Dec-1977
89,jcb,3548837246436495.0,02-May-1991
90,jcb,3564859561360257.0,04-Jan-1948
91,china-unionpay,5602244154262161.0,02-Aug-1995
92,mastercard,5100131093932482.0,31-Oct-2003
93,,6.706263756177307e+18,01-Dec-1999
94,americanexpress,,08-Jun-1946
95,jcb,3566432344202408.0,17-Feb-1934
